"","BAU","INTERIM","DIRECT","INDIRECT","BAU1.1.1","BAU1.1.2","BAU1.1.3","BAU1.1.4","BAU1.1.5","BAU1.1.6","BAU1.1.7","BAU1.1.8","BAU1.2.1","BAU1.2.2","BAU1.2.3","BAU1.2.4","BAU1.2.5","BAU1.3.1","BAU1.3.2","BAU1.3.3","BAU1.3.4","BAU1.3.5","BAU1.3.6","BAU1.3.7","INTERIM1.1.1","INTERIM1.1.2","INTERIM1.1.3","INTERIM1.1.4","INTERIM1.1.5","INTERIM1.1.6","INTERIM1.1.7","INTERIM1.1.8","INTERIM1.2.1","INTERIM1.2.2","INTERIM1.2.3","INTERIM1.2.4","INTERIM1.2.5","INTERIM1.3.1","INTERIM1.3.2","INTERIM1.3.3","INTERIM1.3.4","INTERIM1.3.5","INTERIM1.3.6","INTERIM1.3.7","DIRECT1.1.1","DIRECT1.1.2","DIRECT1.1.3","DIRECT1.1.4","DIRECT1.1.5","DIRECT1.1.6","DIRECT1.1.7","DIRECT1.1.8","DIRECT1.2.1","DIRECT1.2.2","DIRECT1.2.3","DIRECT1.2.4","DIRECT1.2.5","DIRECT1.3.1","DIRECT1.3.2","DIRECT1.3.3","DIRECT1.3.4","DIRECT1.3.5","DIRECT1.3.6","DIRECT1.3.7","INDIRECT1.1.1","INDIRECT1.1.2","INDIRECT1.1.3","INDIRECT1.1.4","INDIRECT1.1.5","INDIRECT1.1.6","INDIRECT1.1.7","INDIRECT1.1.8","INDIRECT1.2.1","INDIRECT1.2.2","INDIRECT1.2.3","INDIRECT1.2.4","INDIRECT1.2.5","INDIRECT1.3.1","INDIRECT1.3.2","INDIRECT1.3.3","INDIRECT1.3.4","INDIRECT1.3.5","INDIRECT1.3.6","INDIRECT1.3.7"
"1",1,3,2,4,200,0,297.624086490433,289.854395552686,0,0,0,0,167.542237252515,90.4464979067176,0,0,0,12.6203270953401,2671.4412074284,3520.70528651068,0,0,0,0,31.2686093844269,27.6146951092007,10.552572232527,4.76113180972439,45.1570482172436,246,269.812932610739,286.457322061779,22.9013126120743,3.30261320106014,1.72220515822745,218.828219516181,224.197046438547,16.3878470978411,487.94738541008,533.998187095091,77.1795870592555,16.9208825818513,295.625799431036,9.31624887318923,32.3779670730488,0,7.54057111493766,12.5357505970613,53.60771774804,246,0,0,25.0947571567735,3.35716323829837,2.04547287266661,117.675764491781,0,16.727693781959,504.778847508712,486.459018319693,106.770620827037,23.1424644740053,1089.76792742286,16.3631149045256,29.698903731218,29.3586237379884,7.27700278871546,6.18516773323967,41.4961892758342,377.643711052026,18.0949826011575,5.2312535576939,22.0776119946494,3.66787333557087,4.08602430479016,235.555969166104,252.16696648106,16.8787909496977,521.742622473519,550.803586820122,106.500321152581,12.6006494442815,939.638181991453,26.1606556490236
"2",1,3,2,4,200,0,265.600476215403,198.074812698223,0,0,0,0,174.318216920068,83.2630228324115,0,0,0,12.4380536003691,2673.12836664836,2566.04979281198,0,0,0,0,32.2979623747153,26.6298866721404,6.5785769047534,6.79070311991361,26.8072083038274,246,247.732312704868,287.815429182829,25.6252695273404,2.57608279398829,2.63387494347503,184.796798002332,248.177623852548,16.4288567788712,484.757347219038,383.815722481576,113.419097120798,20.9157443496562,254.79051914318,10.6585172746795,25.9506140551361,0,9.62038375413869,10.3006039221905,55.982304106268,246,0,0,22.8027264680033,3.00329952656653,2.40776924737902,251.455705609875,0,16.5144556812851,491.181096369573,467.827501529417,102.617676041416,14.1462186359882,1067.72194996147,14.608855045706,29.6013799285896,32.6411278457791,13.0425862818221,5.54149717467277,51.3923908209453,324.55513458901,-0.307365205039491,6.79598927134764,24.8484028129204,3.72260585018622,4.5059287007728,416.189777320411,200.627043250909,16.6627702757946,505.004487251546,615.231273296336,45.2364056922057,16.5927989588998,1102.66735987188,26.3816898614158
"3",1,3,2,4,200,0,288.57883191982,295.164246047989,0,0,0,0,169.136170860654,81.5891729337086,0,0,0,11.8700429503418,2513.10120682679,3478.78969534028,0,0,0,0,32.9826858594479,29.2183041786967,8.37180274695495,8.18236063475497,47.9937679207309,246,207.411391649271,247.445976626841,22.478427087464,2.2871387394167,2.11468137640448,235.279242247611,260.76957013891,16.3521713688573,474.600966913447,480.402732136379,133.016886754483,20.3955756752658,277.133822410235,9.29055218472538,30.2540968174361,0,4.38381852666268,13.5153474878361,52.6544656249129,246,0,0,23.7179755235403,3.21614991341582,2.23146614140376,186.573642008866,0,16.516419721236,483.39453680774,448.116536401006,89.0858269136587,19.5935565077983,542.613099022831,18.0066644244847,30.0227321025692,29.4555296535417,7.75055239172138,2.88272267837543,37.3665397595029,348.076713191922,8.15751250868084,5.55992086833804,22.4217065045975,3.7138363924921,4.42278318201907,285.799942448324,217.899729921925,16.6667439830768,499.477746576835,607.350574279132,128.325765579599,24.1555082339988,1100.96880686094,22.9520624535268
"4",1,3,2,4,200,0,368.44833068593,397.590569228323,0,0,0,0,204.332092003703,86.2952180305753,0,0,0,12.3674020642603,2482.81892950622,4319.14966890495,0,0,0,0,30.1404643779816,29.6326147507391,7.42838003316895,6.97306413396205,59.4634932138629,246,276.007188176764,234.519654665768,26.4199287840249,2.52273029784622,2.50744719955043,221.765680916075,301.454139318489,16.467110014999,472.965737209112,557.228984262434,106.777284832783,15.365174394755,260.172698312967,10.3251885526414,23.812772325108,0,6.26489734132582,10.2847094067217,52.5167718906998,246,0,0,25.0232565673666,3.51993342494344,2.23177412964943,198.878129267267,0,16.5861543100407,495.203158492925,700.846885721631,113.877115417318,19.3416980735157,714.067680843701,19.8617607796541,28.0332426718649,25.3557465295812,8.39789557886661,9.74975452045368,105.633113013793,405.101924748303,1.50798444930581,8.72368995378912,26.9302498404277,4.14016866689641,4.19943422791127,366.048609732907,206.959972677388,16.7524550270103,517.120338705533,475.040861901413,106.597867328366,23.5260273441525,1132.99126417269,20.9982019992518
"5",1,3,2,4,200,0,305.203184294477,350.545159696145,0,0,0,0,158.714323368491,77.0712955901783,0,0,0,12.0492887138762,2487.89075718352,4420.32552111386,0,0,0,0,30.5914076622822,25.6273775981102,6.65858215859191,5.99592370010303,63.719879403479,246,311.51069030209,256.560740322781,21.4862231884512,2.76525026787377,2.17858792519624,158.006502428838,216.530013157096,16.4546717837141,478.667144910266,306.734959054333,110.487936446812,19.3796579487502,271.152901692158,9.02949328991275,28.5259218581184,0,6.16091423386831,9.98711334610098,34.1525793676407,246,0,0,24.1727838473731,2.93293382283869,2.25284838310488,180.553205846375,0,16.5784245726275,488.055363693621,489.792395434616,146.628929353017,25.0509014364889,856.543864665187,12.4758022228084,26.7374812407806,28.7580224001022,8.12965037601151,7.6731454266923,42.6863577963246,374.962045657725,13.5941013877545,9.0241476640665,24.4300341973418,3.33741049244369,4.48075491067281,387.296189052534,259.897696801528,16.6617911444105,506.075103084759,615.932478454403,93.4847902275032,21.9268600289019,1047.49177352715,19.3503261274949
"6",1,3,2,4,200,0,159.907455813703,214.445760428164,0,0,0,0,153.524355736496,112.260502420449,0,0,0,13.0567076385664,2385.36206524108,1905.88804989651,0,0,0,0,34.9610032107578,25.2134744325853,7.16342662421107,5.49786289811075,57.7581902336143,246,241.20369746733,237.632509009075,22.0608391115118,2.88692282989093,2.20224758789567,165.486715558564,326.997243183621,16.4834263429888,476.368364436434,260.071787983988,82.6604568241418,11.760324534203,289.260785842375,9.83428095705758,26.3495144811733,0,6.07208345248322,6.70814427270888,54.4704409879808,246,0,0,20.708399604738,2.80991930101682,1.47037395672859,200.638386727995,0,16.4935069233151,485.985626229393,467.989347261728,107.154653263986,24.4235793375803,760.614745899552,18.6099746529359,29.0918376895188,32.5392121853548,5.96613681459961,1.0120088178453,32.9833127699426,402.312390813217,-6.00165287866811,8.08885672582328,23.0628617612358,2.88190505874773,3.53740547900187,306.660463573007,258.186628387805,16.6094795600938,492.527210563702,274.297493349674,92.0672934873506,16.8957201712413,1254.90821167122,25.417578724207
"7",1,3,2,4,200,0,384.913951942718,234.667593745694,0,0,0,0,164.369649015708,98.6768052019379,0,0,0,13.2185462538263,2811.23371209916,1752.26245134808,0,0,0,0,31.3446882525492,34.1256948025691,6.96238603024442,5.79277425715392,87.7788816650148,246,296.887211228571,367.219623887614,21.9741592867877,3.66774483543948,1.95653712119352,150.163385849844,278.116832672101,16.5985446671651,498.753884485864,495.006176413002,103.451552362136,12.8139579457143,294.664608814901,9.10928987054905,30.9003487690999,0,7.40699994479852,8.86179532398222,58.820886604257,246,0,0,22.8009364097915,3.74158828636713,1.99619998983867,271.521124184245,0,16.6878908151397,511.207949687679,400.451154144984,98.7294315548641,24.348890511872,883.084848943457,14.9387015035614,25.4197468706775,32.2146929530791,10.9693199851754,10.1092388642973,71.9538123486217,328.0496427954,30.349755139915,12.0551805366737,23.5881985896728,3.97998365460666,3.7437111868639,417.531096295829,343.888990376669,16.7399247469522,526.448744887687,406.883510137873,195.42758279267,13.727690381975,1282.08759756906,33.1588677696336
"8",1,3,2,4,200,0,298.960653398398,285.351672850072,0,0,0,0,190.421996600839,82.9086961272598,0,0,0,12.4468976808889,2585.84659499401,2774.99653055316,0,0,0,0,38.5073326691369,31.1154473459876,7.25934143005327,11.2454406277261,81.5402753712285,246,320.650327052102,233.468137710413,24.7962063615823,3.00548071346744,2.58400281803691,210.152509423993,215.065201432393,16.5585661982589,483.386610739611,542.141306540914,102.022622673011,18.9381460180518,274.166306223296,9.49844616735433,32.3927660645763,0,9.08596477966016,11.2194648415302,57.9051085296362,246,0,0,24.6120321040051,3.70617027760706,1.57435643708393,174.59828291655,0,16.7471336165571,503.781495785207,294.862139950995,137.430437081491,17.4108319183635,1029.71742172199,15.6535216679642,23.806478623464,33.7568998490187,9.17602837145435,7.18311068010876,40.4021619743521,393.882981790518,28.1179048342158,8.60491823702568,25.7939149292442,4.65227103241839,4.09803296818076,363.89097731987,305.486041986714,16.8175846809575,528.645850889872,286.321922672611,77.0264225540255,17.4419146094278,1158.92926205632,28.4516619946585
"9",1,4,2,3,200,0,306.94489473705,273.024790355956,0,0,0,0,194.433438326539,95.3608577170347,0,0,0,12.4163411153386,2550.3484719148,3479.78181297228,0,0,0,0,28.7644664274846,27.5577993628506,9.00015040999506,8.32880406045569,43.1830384263517,246,272.288683236035,262.792742142782,23.2538551855749,2.38468632198736,2.47089404123511,182.712059572116,266.474895837209,16.4519043619333,476.237046152973,494.044878566229,101.252948931865,24.6133261888522,276.578567456108,10.3173162745499,30.1210503416178,0,3.98732065881417,10.6302954352457,60.5497655727394,246,0,0,24.3251318672896,2.3701025752571,2.85494040392529,194.343488976163,0,16.448674274184,481.174436698702,643.12864246104,122.480148833753,23.0147047465503,608.952133678281,15.1732815518337,27.1662248591236,28.7826609395373,6.43731651766061,2.23637918182635,9.35936203735373,318.303816550864,29.6326908763826,4.49829428381547,22.506049099581,2.97505610735171,5.23313245185961,465.432527169887,231.374039624502,16.3665196230208,485.92339086984,494.512932159176,73.2702379919273,12.6198943970963,1430.94808951827,24.5249787753452
"10",1,3,2,4,200,0,285.756107286916,235.238041961017,0,0,0,0,166.842337906028,89.0382135371325,0,0,0,12.323114605785,2447.16898819518,4069.89794119928,0,0,0,0,31.0894178360121,28.5937737030802,5.34173074659176,6.27654768483742,81.043673130954,246,224.580902030457,217.512570699156,20.1457291845863,2.64180141456993,2.07933802216265,202.788345882102,252.878853065765,16.4924271436739,471.256409034863,522.550014018093,88.1181446855739,16.4925162862116,267.91798263025,9.44822416763935,31.0791768815264,0,1.07380244998464,7.66990070132675,31.4089874879012,246,0,0,21.3939979172351,2.69968690377272,2.17178281168775,172.839007287097,0,16.306103987759,480.42255234872,298.59883691927,134.826629997952,10.9521929424905,998.761592356982,17.0371667029242,28.5220449022466,34.3505109080068,6.75020436748393,3.04692139927548,55.1915338407996,382.264802470277,42.6786058975908,7.11580759395504,21.5556226848148,2.78438031659638,3.25855334359745,511.657591035973,243.810984447288,16.4589275681781,481.306751119364,153.877804282886,101.758388582092,28.5866627370319,1312.09027928,20.022781962335
